layer_1_term_1,index,x,y_pred,y_true,y_best,final_ans_in_last_layer,y_pred_similarity_score,y_pred_similarity_percentile,y_best_similarity_score,y_best_similarity_percentile,layer_1_term_1_votes,layer_1_term_2,layer_1_term_2_votes,layer_1_term_3,layer_1_term_3_votes,layer_2_term_1,layer_2_term_1_votes,layer_2_term_2,layer_2_term_2_votes,layer_2_term_3,layer_2_term_3_votes,layer_2_term_4,layer_2_term_4_votes,layer_2_term_5,layer_2_term_5_votes,layer_2_term_6,layer_2_term_6_votes,layer_3_term_1,layer_3_term_1_votes,layer_3_term_2,layer_3_term_2_votes,layer_3_term_3,layer_3_term_3_votes,layer_3_term_4,layer_3_term_4_votes,layer_3_term_5,layer_3_term_5_votes,layer_3_term_6,layer_3_term_6_votes,layer_4_term_1,layer_4_term_1_votes,layer_4_term_2,layer_4_term_2_votes,layer_4_term_3,layer_4_term_3_votes,layer_4_term_4,layer_4_term_4_votes,layer_4_term_5,layer_4_term_5_votes,layer_4_term_6,layer_4_term_6_votes,layer_5_term_1,layer_5_term_1_votes,layer_5_term_2,layer_5_term_2_votes,layer_5_term_3,layer_5_term_3_votes,layer_5_term_4,layer_5_term_4_votes,layer_5_term_5,layer_5_term_5_votes,layer_5_term_6,layer_5_term_6_votes
Neurological system process,75,NRXN2 NRXN1 STRA6 CNTNAP2 HTT,Neurexin-mediated synaptic adhesion,vocal learning,Neurodevelopmental process,TRUE,0.3074826,0.70492877,0.4899325,0.945718028,1,Cell communication,1,Protein metabolic process,0,Synaptic transmission,1,Neuronal cell-cell adhesion,0,Neurodevelopmental process,1,Synaptic signaling,0,Neuronal system development,0,Retinol metabolism,0,Neurexin-mediated synaptogenesis,1,Regulation of neurotransmitter receptor activity,0,Neuronal action potential propagation,0,Synaptic assembly,1,Axon guidance,0,Neural retina development,0,Neurexin-1-specific synaptic adhesion,0,Neurexin-2-specific synaptic differentiation,0,Contactin-associated protein-like 2 (CNTNAP2) involvement in synapse assembly,0,Synaptic membrane adhesion,1,Neurexin-neuroligin complex formation,1,Regulation of synaptic vesicle exocytosis,0,Neurexin-mediated synaptic adhesion,*,Synaptic junction organization,0,Synaptic vesicle docking,0,Presynaptic neurexin protein stabilization,0,Trans-synaptic signaling pathway initiation,1,Synaptic adhesion molecule localization,0
Immune system process,76,IFNG ISCU HAMP ATP7A,Interferon-gamma production by T cells,regulation of iron ion transmembrane transport,Regulation of intestinal iron absorption,TRUE,0.2020166,0.333060422,0.8461917,0.999836253,1,Iron ion homeostasis,1,Metal ion transport,0,Interferon-gamma production,1,T cell activation,0,Macrophage activation,0,Regulation of intestinal iron absorption,1,Negative regulation of transferrin biosynthesis,0,Intracellular iron ion transport,0,Th1 cell differentiation,1,Antimicrobial humoral response,0,Macrophage activation,0,Hepcidin-mediated inhibition of dietary iron uptake,1,Transcriptional regulation of hepcidin,0,Ferroportin internalization and degradation,0,CD4+ T cell activation,1,Cytokine production,0,Interleukin-12 production and signaling,0,Ferroportin internalization and degradation,0,Regulation of ferroportin gene expression,0,Iron-sulfur cluster assembly,1,Interferon-gamma production by T cells,*,T cell receptor signaling pathway,0,Th1 cell cytokine production,0,Mitochondrial iron-sulfur cluster assembly,1,Cytosolic iron-sulfur protein assembly,0,Iron-sulfur cluster repair,0
Metabolism,77,HAL UROC1 AMDHD1 FTCD,Heme Biosynthesis,histidine catabolic process to glutamate and formamide,Histidine metabolic process,TRUE,0.4280513,0.958490257,0.7596848,0.999672507,1,Biosynthetic process,0,Cellular nitrogen compound metabolic process,1,Amino Acid Metabolism,1,Heme Biosynthesis,1,Histidine Metabolism,0,Histidine metabolic process,0,Porphyrin-containing compound metabolic process,0,One-carbon metabolic process,0,Histidine Metabolic Process,0,Branched-chain Amino Acid Catabolic Process,0,Tetrahydrofolate Metabolic Process,0,Porphyrinogen Conversion,1,5-Aminolevulinic Acid Synthesis,1,Formiminotransferase-cyclodeaminase activity,0,Uroporphyrinogen III Decarboxylation,1,Coproporphyrinogen Oxidation,0,Protoporphyrinogen IX Conversion to Protoporphyrin IX,0,Porphobilinogen Synthesis,0,Hydroxymethylbilane Synthesis,1,Uroporphyrinogen III Synthesis,0,Heme Biosynthesis,*,Erythrocyte Maturation,0,"Mitochondrial Electron Transport, NADH to Ubiquinone",0,Uroporphyrinogen III Synthesis,1,Hydroxymethylbilane Dehydration,0,Porphyrinogen Branching,0
Developmental process,78,BMP4 SPI1 FOXC2 EPHA2 WNT4 ACTA2 CD34 GPR4 NOTCH1 OSR1 PDGFB,Angioblast differentiation,pericyte cell differentiation,Endothelial cell differentiation,TRUE,0.78155637,0.999672507,0.8097304,0.999099394,1,Regulation of signaling,1,Cellular component organization,0,Angiogenesis,1,Osteoblast differentiation,0,Hematopoiesis,0,Regulation of angiogenesis signaling,0,Regulation of cell differentiation,1,Regulation of osteoblast differentiation,0,Endothelial cell differentiation,1,Vasculogenesis,1,Smooth muscle cell proliferation,0,Osteoblast differentiation,0,Hematopoietic stem cell differentiation,0,Endothelial cell differentiation,1,Vasculogenesis,1,Endothelial cell proliferation,0,Endothelial-to-mesenchymal transition (EndMT),0,Endothelial cell differentiation,0,Blood vessel morphogenesis,1,Regulation of endothelial cell proliferation,0,Angioblast differentiation,*,Endothelial cell proliferation,0,Lumen formation,0,Endothelial cell differentiation,0,Angiogenic sprouting,1,Arteriovenous differentiation,0
DNA repair,79,MUTYH OGG1 NEIL3 MPG,"base-excision repair, AP site formation",depurination,Mismatched uracil removal in DNA,TRUE,0.458235,0.994923858,0.72884303,0.999918127,1,Genomic maintenance,0,Response to oxidative stress,1,Base excision repair,1,DNA damage recognition,0,Oxidative DNA damage repair,0,Base-excision repair,0,DNA damage recognition in base-excision repair,0,DNA glycosylase activity,1,Oxidative DNA damage repair,1,Mismatch repair initiation,0,DNA glycosylase activity,1,8-oxoguanine DNA glycosylase activity,0,Adenine DNA glycosylase activity,0,DNA glycosylase activity for alkylated base repair,0,8-oxo-dGTPase activity,0,"Base excision repair, AP site formation",1,DNA glycosylase activity,1,Oxidized purine nucleobase lesion removal,0,Mismatched uracil removal in DNA,0,Pyrimidine-pyrimidone (6-4) photoproduct repair,0,AP site cleavage by endonuclease,0,DNA repair synthesis,0,DNA ligation after base excision repair,0,8-oxoguanine DNA glycosylase activity,1,"base-excision repair, AP site formation",*,purine base lesion removal,0
DNA repair,79,MUTYH OGG1 NEIL3 MPG,DNA glycosylase activity,depurination,MUTYH-mediated adenine removal,TRUE,0.5658319,0.997789422,0.6255474,0.999836253,1,Cellular response to oxidative stress,0,Maintenance of genome integrity,1,Base excision repair,1,Oxidative DNA damage repair,1,DNA glycosylase activity,0,Base excision repair,1,Oxidative DNA damage repair,1,DNA damage recognition,0,DNA damage recognition in BER,1,Abasic site formation in BER,0,DNA glycosylase activity regulation,0,Base excision repair,1,DNA glycosylase activity,0,"DNA damage response, signal transduction by p53 class mediator",0,Oxidative DNA damage recognition,1,Adenine DNA glycosylase activity,1,Pyrimidine dimer repair via BER,0,Glycosylase activity,0,AP site cleavage,0,Base removal,0,8-oxoguanine repair process,1,Adenine glycosylase activity,0,DNA glycosylase activity,*,MUTYH-mediated adenine removal,0,OGG1-initiated base excision repair,0,NEIL3-dependent BER pathway,0
Neurological system process,80,ADRA2A ADRA2B CRH ADRA2C GABBR1,G-protein mediated signaling pathway via alpha-2 adrenergic receptor,negative regulation of epinephrine secretion,Adrenergic signaling in response to stress,TRUE,0.30026814,0.809808417,0.46119767,0.965531357,1,Regulation of neurotransmitter levels,0,Response to stress,1,G protein-coupled receptor signaling pathway,1,Adrenergic receptor signaling pathway,0,Stress response,0,Adrenergic signaling in response to stress,1,Activation of the hypothalamic-pituitary-adrenal axis,0,GABAergic signaling modulation by stress,0,Adrenergic receptor signaling pathway,1,Corticotropin-releasing hormone signaling pathway,1,Gamma-aminobutyric acid (GABA) B receptor signaling pathway,0,Alpha-2 adrenergic receptor activation,0,Regulation of neurotransmitter levels,0,Corticotropin-releasing hormone signaling pathway,1,Alpha-2 adrenergic receptor activation,1,G protein-coupled inhibitory signaling pathway,1,Corticotropin-releasing hormone signaling pathway,0,Adrenergic receptor signaling pathway,0,Regulation of neurotransmitter levels,0,Alpha-2 adrenergic receptor downregulation,0,Inhibition of adenylate cyclase activity via alpha-2 adrenergic receptor,0,G-protein mediated signaling pathway via alpha-2 adrenergic receptor,*,Modulation of neurotransmitter release via alpha-2 adrenergic receptor,0,Alpha-2 adrenergic receptor signaling pathway,1,Inhibition of adenylate cyclase activity by G protein signaling,0,Regulation of neurotransmitter levels by G protein-coupled receptor signaling,0
Signal transduction,81,PHLDB2 PTEN FERMT2 CLASP1 FERMT1 CLASP2 MTOR RREB1,Negative regulation of apoptotic process via PTEN,"regulation of wound healing, spreading of epidermal cells",Cell spreading,TRUE,0.23818612,0.702063206,0.6934105,0.999099394,1,Cell adhesion,1,Cellular component organization,0,PI3K-Akt signaling pathway,1,Cellular response to growth factor stimulus,0,Regulation of cell migration,0,Integrin-mediated signaling pathway,0,Focal adhesion assembly,0,Regulation of actin cytoskeleton organization,1,Cellular response to insulin stimulus,1,Negative regulation of apoptotic process,1,Angiogenesis,0,Cell-extracellular matrix adhesion,0,Integrin-mediated signaling pathway,0,Cell spreading,0,Glycogen biosynthesis,0,Regulation of glucose transport,0,Protein synthesis,1,PTEN-mediated negative regulation of apoptotic process,0,PI3K-Akt signaling negative feedback,0,Cell survival signaling via PI3K-Akt,1,Ribosomal biogenesis,0,mRNA translation initiation,0,Elongation factor activation,0,Negative regulation of apoptotic process via PTEN,*,mTOR signaling pathway activation,1,Regulation of cell adhesion mediated by FERMT1 and FERMT2,0
Immune system process,82,IL27RA TBX21 RC3H2 SMAD7 IL2 RC3H1 ZC3H12A TNFSF18 ZBTB7B LOXL3 FOXP3 IL4,Immune response-regulating signaling pathway,negative regulation of T-helper 17 type immune response,Suppression of inflammatory response by Treg cells,TRUE,0.36453012,0.258965122,0.5370034,0.994514492,1,Regulation of gene expression,1,Cellular response to stimulus,0,T cell differentiation,1,Inflammatory response,0,Cytokine production,0,Regulation of immune response gene expression,1,Regulation of cytokine production,0,Post-transcriptional regulation of mRNA,0,Th1 cell differentiation,1,Regulatory T cell (Treg) development,1,T cell receptor signaling pathway,0,T-helper 1 (Th1) cell differentiation,0,Regulation of regulatory T cell (Treg) gene expression,0,Cytokine-mediated signaling pathway,0,Interleukin-12-mediated signaling pathway,0,Interferon-gamma production,0,T cell receptor signaling pathway,0,Regulatory T cell lineage commitment,1,Suppression of inflammatory response by Treg cells,0,Treg cell differentiation from naive T cells,1,FOXP3 transcription factor network regulation,1,IL2 signaling in regulatory T cell differentiation,0,Immune response-regulating signaling pathway,*,FOXP3 gene regulatory network activation,0,IL2 signaling pathway in Treg development,1,Regulation of Treg cell proliferation,0
nitrogen compound metabolic process,83,ASL CPS1 NAGS CEBPA SLC25A2 ARG2 ASS1 ARG1 SLC25A15 OTC,arginine metabolism,urea cycle,urea cycle,TRUE,0.46801412,0.949484198,1.0000002,0.999918127,1,cellular amino acid metabolic process,1,small molecule biosynthetic process,0,urea cycle,1,arginine biosynthetic process,1,amino acid transport,0,urea cycle,1,arginine biosynthetic process,1,amino acid transport,0,argininosuccinate synthase activity,0,ornithine transcarbamylase activity,0,arginase activity,0,urea cycle,1,argininosuccinate metabolism,1,nitric oxide biosynthetic process,0,argininosuccinate synthase activity,0,ornithine transcarbamylase activity,0,arginase activity,0,argininosuccinate lyase activity,0,argininosuccinate synthase activity,0,urea cycle,1,argininosuccinate cleavage,0,arginine metabolism,*,ammonia detoxification,0,argininosuccinate synthase activity,1,ornithine transcarbamylase activity,1,arginine biosynthetic process,0
Carbohydrate metabolic process,84,NAGK CHIT1 CTBS OVGP1 GNPDA1 NPL GNPDA2 RENBP CHI3L1 CHIA CHI3L2 MGAT1 ALDH1A1 AMDHD2,Chitin biosynthetic process,amino sugar catabolic process,Hexosamine biosynthetic process,TRUE,0.411808,0.942033732,0.50536895,0.990011462,1,Response to stimulus,1,Regulation of enzyme activity,0,Hexosamine biosynthetic process,1,Glycosaminoglycan metabolic process,1,N-acetylglucosamine metabolic process,0,Inflammatory response,0,Carbohydrate metabolic process,0,Acute-phase response,0,UDP-N-acetylglucosamine biosynthetic process,1,Glycosaminoglycan biosynthetic process,0,Protein glycosylation,1,Chondroitin sulfate metabolic process,0,Hyaluronan metabolic process,0,Heparan sulfate metabolic process,0,N-acetylglucosamine kinase activity,1,Glycoprotein biosynthesis,0,Chitin metabolic process,0,N-linked glycosylation,1,O-linked glycosylation,0,Hexosamine biosynthetic process,0,UDP-N-acetylglucosamine pyrophosphorylase activity,0,Chitin biosynthetic process,*,Glycosaminoglycan biosynthetic process,0,Golgi-mediated N-linked glycosylation,0,Complex N-glycan biosynthesis,1,Protein quality control during N-linked glycosylation,0
Signal transduction,85,CPLANE2 TGFBR2 ACVR1 TGFB2 GATA5,R-SMAD phosphorylation,endocardial cushion fusion,Endocardial cushion formation,TRUE,0.38922814,0.856066809,0.91938764,0.999672507,1,Developmental process,1,Regulation of gene expression,0,TGF-beta receptor signaling pathway,1,BMP signaling pathway,0,Cellular response to TGF-beta stimulus,0,Cardiogenesis,1,TGF-beta receptor signaling pathway,1,Embryonic organ development,0,Regulation of SMAD protein signal transduction,1,Activation of TGF-beta-induced transcription,1,Cellular response to TGF-beta stimulus,0,Endocardial cushion formation,0,Myocardial structural development,0,Aortic valve morphogenesis,0,Phosphorylation of SMAD proteins,0,SMAD protein nuclear translocation,0,Transcriptional regulation by SMAD proteins,0,SMAD protein complex assembly,1,TGF-beta-responsive gene expression,1,Regulation of TGF-beta receptor signaling pathway,0,R-SMAD phosphorylation,*,SMAD complex translocation to the nucleus,0,TGF-beta responsive gene transcription,1,Smad2/3 signaling pathway activation,0,TGF-beta receptor complex assembly,0,Transcriptional activation of GATA5,0
Carbohydrate metabolic process,86,PPP1R3D PHKG2 PPP1CA INS PPP1R3B,Glycogen synthase phosphorylation regulation,regulation of glycogen catabolic process,Regulation of glycogen metabolism,TRUE,0.7102871,0.999590634,0.85673285,0.999672507,1,Regulation of cellular metabolic process,0,Hormonal signaling pathway,1,Glycogen metabolic process,1,Glycogen biosynthetic process,0,Glycogen dephosphorylation,0,Insulin receptor signaling pathway,1,Glycogen biosynthetic process,0,Regulation of glycogen metabolism,0,Glycogen biosynthetic process,1,Glycogen catabolic process,0,Regulation of glycogen biosynthetic process,1,Glycogen biosynthetic process,1,Regulation of glycogen phosphorylase activity,0,Protein dephosphorylation,0,Glycogen synthase activation,1,Glycogen branching,0,Regulation of glycogen synthase activity,0,Insulin signaling in glycogen biosynthesis,1,Activation of glycogen synthase,0,Phosphorylation regulation of PHKG2,0,Glycogen synthase phosphorylation regulation,*,Insulin-mediated glycogen synthesis,1,Glycogen storage disease type IX regulation,0,Activation of glycogen synthase,0,Glycogen phosphorylase inhibition,0,Regulation of glycogen synthase phosphatase activity,0
Transport,87,SLC19A2 SLC25A19 SLC44A4 SLC19A3 SLC35F3,Thiamine Transport Across Plasma Membrane,thiamine transport,Thiamine Transport,TRUE,0.9321969,0.999836253,0.99999994,0.999918127,1,Ion homeostasis,0,Cellular metabolic process,1,Membrane Transport,1,Ion Transport,0,Vitamin Transport,1,Transport of small molecules,0,Vitamin transport,0,Mitochondrial transport,0,Thiamine Transport,1,Mitochondrial Transport,0,Choline Transport,0,Thiamine Transport,1,Mitochondrial Thiamine Pyrophosphate Transport,1,Choline Transport,0,Thiamine Uptake,1,Thiamine Translocation Across Membrane,0,Thiamine Transport Regulation,0,Thiamine Uptake,1,Thiamine Translocation across the Plasma Membrane,1,Thiamine Export,0,Thiamine Uptake in Neurons,0,Thiamine Transporter Recycling,0,Regulation of Thiamine Uptake by Cellular Thiamine Levels,0,Thiamine Transport Across Plasma Membrane,*,Thiamine Transport to Mitochondria,1,Regulation of Thiamine Uptake,0
Immune system process,88,CARD16 CST7 NOL3 XIAP CARD8 CAST CARD18 BCL2L12,Caspase-1 activation,inhibition of cysteine-type endopeptidase activity,Activation of cysteine-type endopeptidase activity,TRUE,0.2586816,0.571802849,0.8230677,0.999672507,1,Apoptotic process,1,Cellular response to stress,0,Inflammatory response,1,Apoptotic process,0,Regulation of cytokine production,0,Intrinsic apoptotic signaling pathway,0,Caspase activation via cytochrome c,0,Negative regulation of apoptotic process,1,Cytokine production,1,Apoptosis regulation,0,NLRP inflammasome complex assembly,1,Inhibition of caspase activity,0,Regulation of mitochondrial membrane permeability,0,Suppression of extrinsic apoptotic signaling pathway,0,Interleukin-1 beta production,0,Inflammasome complex assembly,1,Cellular response to stress,0,Caspase-1 activation,0,Interleukin-1 beta production,0,Pyroptosis induction,1,Activation of cysteine-type endopeptidase activity,0,Regulation of apoptosis,0,Caspase activation,0,Caspase-1 activation,*,Inflammasome complex assembly,1,Gasdermin D pore formation,0
Cellular metabolic process,89,PON3 AATF ACP5,HDL maturation,negative regulation of superoxide anion generation,Negative regulation of osteoclast differentiation,TRUE,0.09250925,0.013918454,0.43054533,0.98166039,1,Regulation of gene expression,1,Response to stress,0,Lipid catabolic process,1,Response to DNA damage stimulus,0,Bone resorption,1,Regulation of apoptotic gene expression,0,Cellular response to DNA damage stimulus,0,Negative regulation of osteoclast differentiation,0,Phospholipid deacylation,0,Cholesterol efflux,1,Lipid hydrolysis,0,Osteoclast differentiation,1,Calcium ion homeostasis,0,Hydroxyapatite crystal dissolution,0,High-density lipoprotein assembly,0,Reverse cholesterol transport,1,Cellular cholesterol homeostasis,0,Osteoclast fusion,0,Osteoclast activation,1,RANK-RANKL signaling pathway in osteoclasts,0,HDL maturation,*,Hepatic cholesterol uptake,0,Cholesterol esterification,0,Bone matrix degradation,1,Hydrogen ion secretion,0,Cytoskeletal organization,0
Signal transduction,90,FZD4 LRP5 FER NTN4 NDP,Retinal vascularization via Norrin/FZD4 signaling,extracellular matrix-cell signaling,Cell communication,TRUE,0.2870756,0.550270182,0.7136448,0.998853774,1,Developmental process,1,Cell communication,0,Wnt signaling pathway,1,Canonical Wnt signaling pathway,0,Regulation of gene expression by Wnt signaling,0,Vasculogenesis,0,Wnt signaling pathway,1,Axon guidance,1,Canonical Wnt signaling pathway,1,Non-canonical Wnt/planar cell polarity signaling pathway,0,"Wnt signaling pathway, calcium modulating pathway",0,Beta-catenin independent Wnt signaling pathway,0,Canonical Wnt signaling pathway,1,Wnt signaling pathway involved in neural crest cell differentiation,1,Beta-catenin/TCF complex assembly,0,Wnt receptor signaling pathway to beta-catenin,1,Regulation of transcription from RNA polymerase II promoter by Wnt signaling,0,Beta-catenin/TCF complex formation,0,Regulation of gene expression by Wnt/beta-catenin signaling,0,Cell fate commitment via Wnt signaling,1,Beta-catenin stabilization and accumulation,1,LRP5-mediated signalosome formation,0,Dishevelled (DVL) activation in Wnt signaling,0,Neurogenesis via Wnt/β-catenin signaling,0,Retinal vascularization via Norrin/FZD4 signaling,*,Canonical Wnt signaling pathway regulation by LRP5,0
Metabolism,91,OXCT1 OXCT2 ACAT1,Mitochondrial Acetoacetate to Acetyl-CoA Conversion,ketone body catabolic process,Ketone body catabolic process,TRUE,0.600333,0.995251351,1,0.999918127,1,Energy homeostasis,0,Lipid metabolic process,1,Ketone body catabolism,1,Branched-chain amino acid metabolism,0,Energy homeostasis,0,Ketone body metabolic process,1,Fatty acid beta-oxidation,0,Acetyl-CoA metabolic process,0,Acetoacetate metabolism,0,Beta-hydroxybutyrate dehydrogenation,0,Ketolysis,1,Ketone body catabolic process,1,Acetoacetate metabolic process,0,Regulation of ketone body catabolic process,0,Acetoacetate to Acetyl-CoA Conversion,1,Acetyl-CoA Utilization in Citric Acid Cycle,0,Regulation of Ketone Body Catabolic Process,0,Acetoacetate catabolic process,0,Beta-hydroxybutyrate catabolic process,0,Ketone bodies conversion to acetyl-CoA,1,Mitochondrial Acetoacetate to Acetyl-CoA Conversion,*,Regulation of Acetoacetate to Acetyl-CoA Conversion,0,Enzymatic Catalysis of Acetoacetate to Acetyl-CoA,0,Mitochondrial ketone body oxidation,1,Acetoacetate metabolic process,0,Regulation of ketone catabolic process,0
cell cycle,92,HORMAD1 RAD1 TRIP13,Meiotic recombination checkpoint,meiotic recombination checkpoint signaling,Meiotic recombination checkpoint,TRUE,0.90246254,0.999918127,0.90246254,0.999918127,1,DNA repair,1,protein folding,0,meiotic cell cycle,1,DNA damage response,1,chromosome segregation,0,DNA damage recognition,0,Homologous recombination,0,Meiotic recombination,0,synapsis,1,homologous recombination,1,meiotic spindle organization,0,DNA damage checkpoint activation,0,Homologous recombination,0,Regulation of mitotic spindle assembly,0,homologous chromosome pairing,0,DNA double-strand break repair via homologous recombination,1,synaptonemal complex assembly,1,Meiotic DNA double-strand break formation,0,DNA damage checkpoint activation,0,Resolution of Holliday junctions,0,Holliday junction resolution,0,Strand invasion,0,Meiotic recombination checkpoint,*,meiotic DNA double-strand break formation,0,homologous chromosome pairing,0,regulation of synaptonemal complex disassembly,1
Immune system process,93,VSIG4 CFH CR1 SUSD4,Inhibition of C3 convertase activity,"regulation of complement activation, alternative pathway",Alternative complement activation pathway regulation,TRUE,0.58767045,0.99950876,0.9550397,0.999918127,1,Regulation of inflammation,1,Cell-cell adhesion,0,Complement activation,1,Regulation of complement activation,1,Innate immune response,0,"Complement activation, classical pathway",0,Negative regulation of macrophage activation,0,Regulation of complement activation,1,Classical complement pathway,0,Alternative complement pathway,0,Regulation of complement activation,1,Negative regulation of complement activation,1,Complement receptor mediated signaling pathway,0,Alternative complement activation pathway regulation,0,Negative regulation of complement activation,1,Complement receptor mediated signaling pathway,0,Alternative complement activation pathway regulation,0,Factor H-mediated inhibition of C3 convertase,1,CR1-mediated erythrocyte clearance of immune complexes,0,VSIG4-mediated inhibition of complement receptor 3 (CR3),0,Inhibition of C3 convertase activity,*,Regulation of complement factor H binding,0,Factor I-mediated cleavage of C3b,1,Complement C3b inactivation,0,Complement receptor 1 (CR1) modulation,0,Regulation of complement system proteins,0
Amino acid metabolism,94,KYNU KMO HAAO,3-hydroxyanthranilic acid oxidative degradation,anthranilate metabolic process,Anthranilate metabolic process,TRUE,0.64396507,0.999918127,0.9999999,0.999918127,1,Cellular nitrogen compound metabolic process,1,Small molecule metabolic process,0,Tryptophan catabolic process,1,Kynurenine pathway,1,Neuroactive ligand-receptor interaction,0,L-kynurenine metabolic process,0,NAD+ biosynthetic process,0,Quinolinate metabolic process,0,Kynurenine metabolic process,1,NAD+ biosynthetic process from tryptophan,1,Quinolinic acid biosynthetic process,0,NAD+ biosynthesis from tryptophan,0,Neuroactive ligand-receptor interaction,0,Quinolinic acid production,0,Hydroxykynurenine metabolic process,0,Anthranilate metabolic process,0,NAD+ biosynthetic process via kynurenine,1,Kynurenine pathway,1,Hydroxylation of kynurenine to 3-hydroxykynurenine,0,3-hydroxyanthranilate metabolism,0,3-hydroxyanthranilic acid oxidative degradation,*,Kynurenine 3-monooxygenase activity,0,Kynureninase activity,1,Anthranilate metabolic process,0,3-hydroxykynurenine metabolic process,0,NAD+ biosynthetic process via kynurenine,0
Cell communication,95,PCDH8 MDGA1 LRFN3 MAPK14,Synaptic adhesion molecule signaling,regulation of synaptic membrane adhesion,Synaptic membrane adhesion,TRUE,0.76261413,0.999672507,0.81933236,0.99975438,1,Neurological system process,1,Signal transduction,0,Neuronal cell-cell adhesion,1,Synaptic signaling,1,MAPK cascade,0,Neuron projection development,0,Synaptic signaling,1,Inflammatory response to neural injury,0,Synapse assembly,1,Neuronal projection development,1,Dendritic spine morphogenesis,0,Synapse assembly,1,Synaptic transmission,0,Neuronal cell-cell adhesion,0,Homophilic cell adhesion via plasma membrane adhesion molecules,1,Dendritic spine development,1,Regulation of excitatory postsynaptic membrane potential,0,Axonogenesis,0,Synapse assembly,0,Neuronal signal transduction,0,Neuronal dendritic spine morphogenesis,0,Synaptic membrane adhesion,0,Regulation of neuronal precursor cell proliferation,0,Dendritic spine morphogenesis,0,Synaptic adhesion molecule signaling,*,Dendritic spine stabilization,1
Neurological system process,96,NPY OPRM1 GHSR GHRL,Ghrelin-induced orexigenic signaling,positive regulation of appetite,Regulation of appetite,TRUE,0.5344404,0.992385787,0.80207753,0.999590634,1,Regulation of appetite,1,G protein-coupled receptor signaling pathway,0,Neuropeptide signaling pathway,1,G-protein coupled receptor signaling pathway,0,Regulation of appetite,0,Neuropeptide signaling pathway,1,Ghrelin signaling pathway,1,Opioid receptor signaling pathway,0,Appetite regulation by neuropeptide signaling,1,Opioid peptide signaling pathway,0,Ghrelin signaling pathway,1,NPY neuropeptide signaling,0,Opioid receptor signaling pathway,0,Ghrelin signal transduction,0,Neuropeptide Y (NPY) mediated appetite stimulation,0,Opioid receptor signaling in appetite control,0,Ghrelin signaling pathway in appetite regulation,1,Ghrelin-induced growth hormone secretion,0,Ghrelin-mediated appetite regulation,1,Ghrelin modulation of energy homeostasis,0,Activation of growth hormone secretagogue receptors by ghrelin,0,Neuropeptide Y (NPY) release in response to ghrelin,1,Modulation of opioid signaling by ghrelin,0,Ghrelin-induced orexigenic signaling,*,Neuropeptide Y (NPY) synthesis and release,0,Opioid receptor signaling in appetite control,0
Developmental process,97,BMP4 TGFB1 MYCN TRUB1,BMP4 signaling pathway in osteoblast differentiation,positive regulation of miRNA maturation,Transcriptional regulation by MYCN,TRUE,0.27053007,0.458735877,0.34043896,0.728835762,1,Cellular signaling,0,Gene expression regulation,1,Osteogenesis,1,Embryonic morphogenesis,1,Angiogenesis,0,Transcriptional regulation by MYCN,0,BMP signaling pathway,0,TGF-beta signaling regulation,0,Chondrocyte differentiation,0,Bone mineralization,0,Osteoblast proliferation,0,Osteogenesis,1,Neural crest cell development,1,Cardiac chamber morphogenesis,0,Osteoblast differentiation,1,Bone mineralization,0,Endochondral ossification,0,Neural crest cell migration,0,Neural crest cell differentiation,1,Sensory neuron differentiation,0,BMP4 signaling pathway in osteoblast differentiation,*,TGFB1-mediated regulation of osteoblast differentiation,1,MYCN transcriptional control in osteoblast differentiation,0,Melanocyte differentiation,0,Peripheral nervous system development,0,Skeletal system development,0
Cell communication,98,TIMP4 TIMP3 TIMP2 TIMP1 ROCK1 PTPN3 LRIG2 IL10,Regulation of extracellular matrix organization,negative regulation of membrane protein ectodomain proteolysis,Negative regulation of extracellular matrix disassembly,TRUE,0.32081592,0.681431145,0.60037106,0.998362535,1,Regulation of proteolysis,1,Response to stimulus,0,Immune cell signaling,0,Regulation of tyrosine phosphorylation of proteins,0,Extracellular matrix organization,1,Inhibition of matrix metalloproteinase activity,1,Extracellular matrix organization,1,Negative regulation of angiogenesis,0,Regulation of matrix metalloproteinases,1,Extracellular matrix disassembly,1,Collagen catabolic process,0,Tissue remodeling matrix metalloproteinase inhibition,0,Angiogenesis regulation by matrix metalloproteinase inhibition,0,Anti-inflammatory response via IL10 signaling,0,Inhibition of matrix metalloprotease activity,1,Negative regulation of extracellular matrix disassembly,1,Modulation of cell-matrix adhesion,0,Inhibition of matrix metalloproteinases,0,Tissue remodeling,0,Regulation of angiogenesis,0,Regulation of extracellular matrix organization,*,Tissue remodeling,0,Angiogenesis regulation,0,Inhibition of matrix metalloproteinase activity,1,Regulation of collagen catabolic process,0,Cellular response to cytokines,0
